Year,US_Vehicles_Per_Capita,India_Vehicles_Per_Capita
1910,0.005086580086580086,
1920,0.0867605633802817,
1930,0.2173030056864338,
1940,0.24579863739591218,
1950,0.3249835201054713,
1951,,0.00044309055663251177
1960,0.41206419479800777,
1961,,0.0007058287795992715
1970,0.5423695758166748,
1971,,0.001240423203210507
1980,0.7107834507042254,
1981,,0.0016976437875018294
1990,0.7744391025641026,
1991,,0.0034857615502776797
2000,0.8002126151665485,
2001,,0.006853310002916301
2010,0.808503071451665,
2011,,0.015884685280026435
2020,0.8323378582202112,
2021,,0.03240993253911296
2024,0.8836649836649836,
2025,,0.03621379310344827
