Year,US_Population_Millions,Registered_Vehicles_Millions,Vehicles_Per_Capita
1910,92.4,0.47,0.005086580086580086
1920,106.5,9.24,0.0867605633802817
1930,123.1,26.75,0.2173030056864338
1940,132.1,32.47,0.24579863739591218
1950,151.7,49.3,0.3249835201054713
1960,180.7,74.46,0.41206419479800777
1970,205.1,111.24,0.5423695758166748
1980,227.2,161.49,0.7107834507042254
1990,249.6,193.3,0.7744391025641026
2000,282.2,225.82,0.8002126151665485
2010,309.3,250.07,0.808503071451665
2020,331.5,275.92,0.8323378582202112
2024,336.7,297.53,0.8836649836649836
