Year,Russia,United States
1980,,12575
1981,,13948
1982,,14403
1983,,15579
1984,,17105
1985,,18239
1986,,19021
1987,,20103
1988,,21462
1989,,22902
1990,,23820
1991,,24375
1992,3096,25486
1993,2929,26398
1994,2663,27605
1995,2666,28779
1996,2644,29968
1997,2738,31468
1998,1835,32878
1999,1331,34577
2000,1772,36334
2001,2100,37162
2002,2378,37974
2003,2975,39784
2004,4102,41922
2005,5323,44310
2006,6920,46730
2007,9101,48401
2008,11635,48567
2009,8563,47099
2010,10675,48466
2011,14305,49807
2012,15402,51648
2013,15941,53106
2014,14055,55076
2015,9278,56803
2016,8663,58021
2017,10659,60203
2018,11212,63064
2019,11448,65280
2020,10108,63411
2021,12522,70419
2022,15445,76399
2023,13817,80295
2024,14871,84534
2025,17446,85810
2026,17287,87664
2027,17831,89648
2028,18442,91725
2029,19084,93920
2030,19754,96227
